Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HammingWindowFunction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HammingWindowFunction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WindowFunction
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HannWindowFunction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HannWindowFunction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WindowFunction
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Record,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,ChebyshevDistanceCalculator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,EuclideanDistanceCalculator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,LpcFeaturesExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,WindowedFeaturesExtractor,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: extractFeatures
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,AfterEnroll,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,AfterEnroll,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TeacherPanel; StudentLogIn; Main; TeacherLogIn; LogIn; AfterLogin; TeacherEnroll; AfterEnroll; Attendance; IdPassModifier
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,AfterLogin,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,Alertframe,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,Button_templete,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: speak; attendSheet; login; studentLogin; submit; resultToHome; confirmAttendance; UserName; container; display; usernamelabel; passwordlabel; font; displayFont; Password; jDialog
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,Button_templete,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AfterEnroll; AfterLogin; Alertframe; GiveVoice; IdPassModifier; LogIn; Main; StudentLogIn; TeacherEnroll; TeacherLogIn; TeacherPanel
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,GiveVoice,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,IdPassModifier,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,LogIn,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,Main,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,StudentLogIn,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,TeacherEnroll,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,TeacherLogIn,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,TeacherPanel,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Button_templete
